temperature_C,pH,time_min,enzyme_conc_mgml,substrate_mM,salt_mM,agitation_rpm,buffer_type,additive,operator,outcome
83.1,7.08,140.0,2.42,,384.0,136.0,Tris,DMSO,A,Yes
35.8,8.59,227.0,0.26,4.6,244.0,259.0,HEPES,glycerol,A,No
43.7,7.97,97.0,1.64,30.1,,88.0,Tris,none,B,No
86.6,7.32,68.0,1.63,11.9,,227.0,Tris,DMSO,A,Yes
60.7,6.71,115.0,3.63,,310.0,191.0,PBS,glycerol,A,Yes
84.3,8.51,161.0,2.33,44.1,384.0,222.0,PBS,DMSO,A,Yes
69.8,6.65,33.0,0.38,10.7,375.0,113.0,PBS,glycerol,B,Yes
76.9,8.69,98.0,4.98,23.3,172.0,217.0,PBS,none,B,Yes
31.4,5.27,41.0,4.45,37.8,129.0,,HEPES,none,A,No
62.9,6.72,162.0,4.59,35.7,219.0,116.0,Tris,DMSO,B,Yes
60.5,7.08,201.0,1.31,28.1,245.0,,HEPES,glycerol,A,Yes
86.0,8.8,97.0,2.03,40.5,71.0,289.0,Tris,none,B,No
50.3,6.0,95.0,1.21,23.8,221.0,214.0,PBS,glycerol,A,No
66.9,8.22,134.0,0.71,31.4,320.0,61.0,Tris,none,B,No
29.1,7.71,59.0,0.26,41.1,68.0,219.0,HEPES,DMSO,B,No
52.1,7.87,67.0,2.57,34.2,69.0,84.0,PBS,glycerol,A,No
47.6,7.52,86.0,0.7,32.4,87.0,141.0,Tris,none,B,No
35.5,8.89,115.0,0.96,20.9,142.0,258.0,PBS,glycerol,A,No
82.1,6.33,29.0,4.32,28.4,481.0,134.0,PBS,DMSO,B,Yes
51.6,6.59,183.0,2.47,20.4,13.0,86.0,Tris,DMSO,A,Yes
93.5,5.81,143.0,1.0,37.5,92.0,92.0,HEPES,DMSO,A,Yes
66.3,5.2,79.0,3.38,19.6,83.0,23.0,Tris,none,A,No
67.4,5.85,28.0,1.4,23.9,237.0,66.0,PBS,glycerol,B,Yes
69.7,8.66,186.0,2.68,38.0,8.0,81.0,Tris,DMSO,B,No
72.4,8.36,40.0,1.49,25.7,229.0,52.0,HEPES,DMSO,B,No
35.6,5.45,41.0,2.63,17.6,81.0,19.0,HEPES,glycerol,A,No
55.8,7.42,40.0,3.18,41.5,135.0,140.0,HEPES,DMSO,A,Yes
41.8,6.92,29.0,2.73,19.7,396.0,64.0,PBS,none,A,Yes
53.2,7.38,218.0,2.04,42.4,92.0,222.0,PBS,glycerol,A,Yes
31.8,7.64,72.0,3.97,39.5,309.0,277.0,Tris,DMSO,B,Yes
92.7,6.23,80.0,4.38,22.9,203.0,82.0,PBS,none,B,Yes
40.1,8.85,202.0,0.98,35.9,209.0,172.0,Tris,DMSO,A,No
72.0,6.86,153.0,0.77,2.7,408.0,152.0,Tris,none,A,Yes
46.0,7.51,53.0,0.65,20.1,80.0,23.0,HEPES,none,A,Yes
86.2,7.54,110.0,4.9,43.2,462.0,37.0,PBS,none,B,Yes
71.4,5.74,213.0,4.71,29.4,447.0,265.0,HEPES,DMSO,B,Yes
34.2,5.25,96.0,1.23,28.3,334.0,142.0,HEPES,DMSO,A,No
84.2,6.65,174.0,4.85,33.6,25.0,241.0,PBS,none,B,Yes
91.1,8.06,32.0,1.12,34.2,332.0,20.0,HEPES,DMSO,A,Yes
88.3,8.26,177.0,2.58,29.6,300.0,178.0,HEPES,none,A,Yes
64.9,7.92,189.0,2.54,21.6,386.0,260.0,PBS,DMSO,A,Yes
35.2,5.45,200.0,4.58,10.0,107.0,260.0,Tris,none,B,No
38.5,8.65,165.0,0.3,15.3,,2.0,PBS,none,B,No
90.0,8.21,95.0,1.65,15.4,443.0,157.0,HEPES,DMSO,A,Yes
63.7,8.51,25.0,3.04,22.1,57.0,111.0,HEPES,DMSO,B,No
37.6,7.09,129.0,0.43,50.0,158.0,228.0,PBS,none,A,No
86.9,8.66,184.0,1.26,18.3,16.0,22.0,PBS,glycerol,B,No
69.9,5.19,54.0,2.38,22.9,415.0,79.0,PBS,DMSO,B,No
64.9,5.12,71.0,4.42,19.2,458.0,244.0,PBS,glycerol,B,No
51.3,5.08,133.0,3.83,29.5,495.0,141.0,Tris,glycerol,A,No
53.8,6.01,182.0,4.16,47.4,306.0,136.0,HEPES,DMSO,B,Yes
41.8,5.99,216.0,3.83,44.6,333.0,291.0,PBS,none,A,No
27.7,5.75,39.0,3.57,19.5,339.0,96.0,Tris,glycerol,B,No
86.3,7.27,52.0,4.26,14.1,285.0,13.0,Tris,glycerol,B,Yes
57.7,5.16,194.0,3.44,44.3,476.0,118.0,PBS,DMSO,B,No
63.3,7.36,158.0,3.7,25.2,304.0,46.0,PBS,glycerol,B,Yes
47.6,5.66,176.0,1.58,34.6,168.0,25.0,Tris,DMSO,B,No
77.6,7.71,239.0,0.92,4.6,256.0,170.0,Tris,glycerol,A,Yes
26.8,5.08,226.0,3.81,43.5,9.0,286.0,HEPES,glycerol,A,No
51.1,6.24,204.0,0.91,16.3,362.0,174.0,PBS,DMSO,B,Yes
27.1,8.75,189.0,4.61,25.2,347.0,194.0,HEPES,DMSO,A,No
33.6,7.15,101.0,3.02,10.7,211.0,97.0,Tris,DMSO,A,No
